,date,user,message,datetime,year,month_num,month,day_name,period,only_date
0,"09/02/2023, 3:31 PM",Amn,Hi gaurav bhai,2023-09-02 15:31:00,2023,9,September,Saturday,PM,2023-09-02
1,"09/02/2023, 3:31 PM",Amn,power cut hai area me maybe delay hoskta homepage ka kaam par aaj hojayega,2023-09-02 15:31:00,2023,9,September,Saturday,PM,2023-09-02
2,"09/02/2023, 3:31 PM",Gaurav MNF,Ui ka ho gya kya,2023-09-02 15:31:00,2023,9,September,Saturday,PM,2023-09-02
3,"09/02/2023, 3:32 PM",Amn,Offereings me ui hua,2023-09-02 15:32:00,2023,9,September,Saturday,PM,2023-09-02
4,"09/02/2023, 3:32 PM",Gaurav MNF,Q ki muze puchhenge to mai kya batau,2023-09-02 15:32:00,2023,9,September,Saturday,PM,2023-09-02
5,"09/02/2023, 3:32 PM",Amn,Audio baaki hai 4,2023-09-02 15:32:00,2023,9,September,Saturday,PM,2023-09-02
6,"9/29/23, 3:33 PM",Amn,Offerings hogya bolna,2023-09-29 15:33:00,2023,9,September,Friday,PM,2023-09-29
7,"9/29/23, 3:33 PM",Amn,Kyu ke sir ne audio ka requirement nhi diya thha,2023-09-29 15:33:00,2023,9,September,Friday,PM,2023-09-29
8,"9/29/23, 3:34 PM",Gaurav MNF,Missed video call,2023-09-29 15:34:00,2023,9,September,Friday,PM,2023-09-29
9,"9/29/23, 7:25 PM",Gaurav MNF,Aaj jitna ho skta hai utna complete kr do..,2023-09-29 19:25:00,2023,9,September,Friday,PM,2023-09-29
10,"9/29/23, 7:30 PM",Amn,Hogya hai offerings or demo,2023-09-29 19:30:00,2023,9,September,Friday,PM,2023-09-29
11,"9/29/23, 7:30 PM",Gaurav MNF,With audio?,2023-09-29 19:30:00,2023,9,September,Friday,PM,2023-09-29
12,"9/29/23, 7:30 PM",Amn,Yes,2023-09-29 19:30:00,2023,9,September,Friday,PM,2023-09-29
13,"9/29/23, 7:30 PM",Amn,Pricing bacha hai,2023-09-29 19:30:00,2023,9,September,Friday,PM,2023-09-29
14,"9/29/23, 7:31 PM",Amn,Uska bhi 20 percent hua ui,2023-09-29 19:31:00,2023,9,September,Friday,PM,2023-09-29
15,"9/29/23, 7:31 PM",Gaurav MNF,Ok,2023-09-29 19:31:00,2023,9,September,Friday,PM,2023-09-29
16,"9/29/23, 7:31 PM",Amn,Baaki kal sequence kardunga,2023-09-29 19:31:00,2023,9,September,Friday,PM,2023-09-29
17,"9/29/23, 7:31 PM",Gaurav MNF,Ok,2023-09-29 19:31:00,2023,9,September,Friday,PM,2023-09-29
18,"9/30/23, 12:09 PM",Gaurav MNF,Kaha ho,2023-09-30 12:09:00,2023,9,September,Saturday,PM,2023-09-30
19,"9/30/23, 12:52 PM",Amn,pricing bhi hogya hai,2023-09-30 12:52:00,2023,9,September,Saturday,PM,2023-09-30
20,"9/30/23, 12:52 PM",Amn,status update krdena sbka,2023-09-30 12:52:00,2023,9,September,Saturday,PM,2023-09-30
21,"9/30/23, 12:53 PM",Gaurav MNF,Ha,2023-09-30 12:53:00,2023,9,September,Saturday,PM,2023-09-30
22,"10/7/23, 2:21 PM",Amn,opportunities ka hogya hai,2023-10-07 14:21:00,2023,10,October,Saturday,PM,2023-10-07
23,"10/7/23, 2:21 PM",Gaurav MNF,Ok.. Krta hu test,2023-10-07 14:21:00,2023,10,October,Saturday,PM,2023-10-07
24,"10/7/23, 2:35 PM",Amn,join mnf team bhi hua,2023-10-07 14:35:00,2023,10,October,Saturday,PM,2023-10-07
25,"10/7/23, 2:42 PM",Gaurav MNF,Ok... Mera side power down hai.. To mai krta hu thodi der me test..,2023-10-07 14:42:00,2023,10,October,Saturday,PM,2023-10-07
26,"10/7/23, 3:25 PM",Amn,haa ask a question krrha abhi,2023-10-07 15:25:00,2023,10,October,Saturday,PM,2023-10-07
27,"10/7/23, 4:16 PM",Gaurav MNF,Harkat me aao,2023-10-07 16:16:00,2023,10,October,Saturday,PM,2023-10-07
28,"10/7/23, 4:18 PM",Amn,Ask a question ka bug hai,2023-10-07 16:18:00,2023,10,October,Saturday,PM,2023-10-07
29,"10/7/23, 4:18 PM",Amn,Woh solve krke aya,2023-10-07 16:18:00,2023,10,October,Saturday,PM,2023-10-07
30,"10/7/23, 4:19 PM",Gaurav MNF,Kitna time lagega,2023-10-07 16:19:00,2023,10,October,Saturday,PM,2023-10-07
31,"10/7/23, 4:19 PM",Amn,15 20 mins,2023-10-07 16:19:00,2023,10,October,Saturday,PM,2023-10-07
32,"10/7/23, 4:19 PM",Gaurav MNF,Isme changes krna hai,2023-10-07 16:19:00,2023,10,October,Saturday,PM,2023-10-07
33,"10/7/23, 4:19 PM",Amn,Kisme?,2023-10-07 16:19:00,2023,10,October,Saturday,PM,2023-10-07
